fight_id,fighter_a,fighter_b,predicted_prob_a,outcome_a,raw_delta,fight_date,close_flag,asof_frozen
islam-makhachev-jack-della-maddalena,Islam Makhachev,Jack Della Maddalena,0.5100,1,0.017122,2025-11-15,1,1
valentina-shevchenko-zhang-weili,Zhang Weili,Valentina Shevchenko,0.5100,0,0.013430,2025-11-15,1,1
michael-morales-sean-brady,Michael Morales,Sean Brady,0.5000,1,0.003059,2025-11-15,1,1
carlos-prates-leon-edwards,Carlos Prates,Leon Edwards,0.4300,1,-0.075961,2025-11-15,1,1
benoit-saint-denis-beneil-dariush,Benoit Saint Denis,Beneil Dariush,0.4600,1,-0.048762,2025-11-15,1,1
bo-nickal-rodolfo-vieira,Rodolfo Vieira,Bo Nickal,0.4300,0,-0.079302,2025-11-15,1,1
gregory-rodrigues-roman-kopylov,Roman Kopylov,Gregory Rodrigues,0.4500,0,-0.054274,2025-11-15,1,1
erin-blanchfield-tracy-cortez,Tracy Cortez,Erin Blanchfield,0.4700,0,-0.032260,2025-11-15,1,1
ethyn-ewing-malcolm-wellmaker,Ethyn Ewing,Malcolm Wellmaker,0.5000,1,0.000000,2025-11-15,1,0
kyle-daukaus-gerald-meerschaert,Kyle Daukaus,Gerald Meerschaert,0.5200,1,0.020126,2025-11-15,1,1
pat-sabatini-chepe-mariscal,Pat Sabatini,Chepe Mariscal,0.4400,1,-0.063836,2025-11-15,1,1
fatima-kline-angela-hill,Angela Hill,Fatima Kline,0.4500,0,-0.054616,2025-11-15,1,1
baisangur-susurkaev-eric-mcconico,Baisangur Susurkaev,Eric McConico,0.7800,1,0.364102,2025-11-15,0,1
matheus-camilo-viacheslav-borshchev,Viacheslav Borshchev,Matheus Camilo,0.5400,0,0.049979,2025-11-15,1,0
petr-yan-merab-dvalishvili,Petr Yan,Merab Dvalishvili,0.4500,1,-0.054318,2025-12-06,1,1
joshua-van-alexandre-pantoja,Alexandre Pantoja,Joshua Van,0.3500,0,-0.170896,2025-12-06,0,1
tatsuro-taira-brandon-moreno,Tatsuro Taira,Brandon Moreno,0.5000,1,0.001910,2025-12-06,1,1
